Neighborhooods,TravelTime
Bayview Hunters Point,6.751356379
Bernal Heights,6.327836082
Castro/Upper Market,5.256469808
Chinatown,5.915740741
Excelsior,6.268456376
Financial District/South Beach,6.222703223
Glen Park,6.597249509
Golden Gate Park,5.684292379
Haight Ashbury,5.186705202
Hayes Valley,5.620329322
Inner Richmond,5.29814077
Inner Sunset,5.685306365
Japantown,5.847386172
Lakeshore,7.911725067
Lincoln Park,6.534246575
Lone Mountain/USF,5.752764613
Marina,6.570175439
McLaren Park,7.470588235
Mission,5.18062572
Mission Bay,5.998829725
Nob Hill,5.020017406
Noe Valley,5.988083416
None,6.469879518
North Beach,6.19129753
Oceanview/Merced/Ingleside,6.478237792
Outer Mission,6.102279369
Outer Richmond,6.217100372
Pacific Heights,5.688340807
Portola,6.424466338
Potrero Hill,5.843648208
Presidio,7.696969697
Presidio Heights,6.005095541
Russian Hill,5.60887372
Seacliff,6.95620438
South of Market,5.821163498
Sunset/Parkside,6.67899048
Tenderloin,5.440647026
Treasure Island,8.856770833
Twin Peaks,6.85013624
Visitacion Valley,7.69760479
West of Twin Peaks,6.383928571
Western Addition,5.885201182
